Sequence,Credits,Type,Flag,Num,Taken
UNIV B101 | UNIV CI101,1.0,UNV,4,0,False
CIVC 101,1.0,UNV,0,0,False
COOP 101,1.0,UNV,0,0,False
UNIV B201 [WI],1.0,UNV,0,0,False
ENGL 101 | ENGL 111,3.0,ENG,4,0,False
ENGL 102 | ENGL 112,3.0,ENG,4,0,False
ENGL 103 | ENGL 113,3.0,ENG,4,0,False
COM 230,3.0,ENG,0,0,False
MATH 121,4.0,ENG,0,0,False
MATH 180,4.0,ENG,0,0,False
MATH 201,4.0,ENG,0,0,False
STAT 201,4.0,ENG,0,0,False
STAT 202,4.0,ENG,0,0,False
CS 150 | CS 164,3.0,ENG,4,0,False
CS 171,3.0,ENG,0,0,False
CS 172,3.0,ENG,0,0,False
ECON 201,4.0,ECON,0,0,False
ECON 202,4.0,ECON,0,0,False
ECON 250,4.0,ECON,0,0,False
ECON 270,4.0,ECON,0,0,False
ECON 301,4.0,ECON,0,0,False
ECON 321,4.0,ECON,0,0,False
ECON 322 [WI],4.0,ECON,0,0,False
ECON 350 [WI],4.0,ECON,0,0,False
ECON 360 | ECON 370,4.0,ECON,4,0,False
CS 260,3.0,DS,0,0,False
CS 265,3.0,DS,0,0,False
DSCI 351,3.0,DS,0,0,False
DSCI 471,3.0,DS,0,0,False
INFO 101,3.0,DS,0,0,False
INFO 103,3.0,DS,0,0,False
INFO 210,3.0,DS,0,0,False
INFO 212,3.0,DS,0,0,False
INFO 213,3.0,DS,0,0,False
INFO 250,3.0,DS,0,0,False
INFO 323,3.0,DS,0,0,False
INFO 332,3.0,DS,0,0,False
INFO 440,3.0,DS,0,0,False
INFO 442,3.0,DS,0,0,False
ECON 203 [WI] | ECON 248 | ECON 260 | ECON 324 | ECON 326 [WI] | ECON 330 | ECON 331 | ECON 334 | ECON 336 | ECON 338 | ECON 342 | ECON 344 | ECON 348 | ECON 351 | ECON 354 | ECON 360 | ECON 361 | ECON 365 | ECON 366 | ECON 370 | ECON T480 | INTB 332 | INTB 334 | INTB 336 | INTB 338 | INTB 440 | SMT 320,12.0,DS,6,0,False
CS 270 | CS 380 | CS 383 | INFO 315 | INFO 371 | INFO 432,6.0,DS,6,0,False
Elective,39.0,Special,1,0,False
Total,180.0,Special,1,0,False
