ADGD I199,0.0-12.0,,"[False, False, False, False]",
ADGD I299,0.0-12.0,,"[False, False, False, False]",
ADGD I399,0.0-12.0,,"[False, False, False, False]",
ADGD I499,0.0-12.0,,"[False, False, False, False]",
ADGD T180,0.0-12.0,,"[False, False, False, False]",
ADGD T280,0.0-12.0,,"[False, False, False, False]",
ADGD T380,0.0-12.0,,"[False, False, False, False]",
ADGD T480,0.0-12.0,,"[False, False, False, False]",
ANIM 100,3.0,,"[True, False, False, False]",
ANIM 110,3.0," ANIM 100 [Min Grade: D] or DIGM 100 [Min Grade: D] or PHTO 141 [Min Grade: D] or VSCM 200 [Min Grade: D] or GMAP 101 [Min Grade: D]
","[False, True, False, False]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C83213B80>>
ANIM 115,3.0," IDM 211 [Min Grade: D] or ANIM 100 [Min Grade: D] or PHTO 141 [Min Grade: D] or VSCM 200 [Min Grade: D] or DIGM 100 [Min Grade: D]
","[False, True, False, False]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C832CA740>>
ANIM 140,3.0," DIGM 100 [Min Grade: D] or VSCM 200 [Min Grade: D] or ANIM 100 [Min Grade: D] or PHTO 141 [Min Grade: D] or VRIM 100 [Min Grade: D] or GMAP 101 [Min Grade: D] or DSMR 100 [Min Grade: D]
","[False, True, False, False]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C832CA9B0>>
ANIM 141,3.0," DIGM 110 [Min Grade: D] or ANIM 140 [Min Grade: D]
","[False, False, True, False]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C832CACE0>>
ANIM 145,3.0," ANIM 140 [Min Grade: D] or ARCH 134 [Min Grade: D] or INTR 245 [Min Grade: D]
","[False, False, True, False]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C832CAE30>>
ANIM 152,3.0," ANIM 100 [Min Grade: D] or DIGM 100 [Min Grade: D] or PHTO 141 [Min Grade: D] or VSCM 200 [Min Grade: D] or GMAP 101 [Min Grade: D]
","[False, False, False, False]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C832CAFE0>>
ANIM 155,3.0," ANIM 140 [Min Grade: D]
","[True, False, True, False]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C832CB250>>
ANIM 211,3.0," ANIM 140 [Min Grade: D]
","[True, False, True, False]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C832CB340>>
ANIM 212,3.0," ANIM 211 [Min Grade: D]
","[False, True, False, True]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C832CB430>>
ANIM 214,3.0," ANIM 212 [Min Grade: D]
","[False, False, False, False]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C832CB520>>
ANIM 215,3.0,,"[False, True, False, True]", Cannot enroll if classification is Freshman
ANIM 220,3.0," ANIM 100 [Min Grade: D] or DIGM 100 [Min Grade: D] or PHTO 141 [Min Grade: D] or VSCM 200 [Min Grade: D] or VRIM 100 [Min Grade: D]
","[False, False, True, False]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C832CB700>>
ANIM 221,3.0," ANIM 110 [Min Grade: D] and ANIM 211 [Min Grade: D] and ANIM 220 [Min Grade: D]
","[False, False, True, False]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C832CB970>>
ANIM 225,3.0," ANIM 220 [Min Grade: D]
","[False, False, False, False]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C832CBBE0>>
ANIM 231,3.0," CS 140 [Min Grade: D] or CS 171 [Min Grade: D]
","[False, False, False, True]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C832CBCD0>>
ANIM 240,3.0," ANIM 141 [Min Grade: C]
","[False, False, True, False]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C832CBE20>>
ANIM 247,3.0," ANIM 212 [Min Grade: D]
","[False, False, True, False]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C832CBF10>>
ANIM 248,3.0," ANIM 141 [Min Grade: D] or DIGM 141 [Min Grade: D]
","[False, False, False, True]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C832CBFA0>>
